AREA_ID,CLAIM_TIME,CUR_WAFER_QTY,EQP_ID,EQP_TYPE,LOT_ID,OPE_CATEGORY,PRIORITY_CLASS,RECIPE_ID
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 001744,2,N3RuRXlIQUZMM3RXWWVVZlhEQjZYZz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,ARRIVE,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 002929000,2,N3RuRXlIQUZMM3RXWWVVZlhEQjZYZz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,JOBIN,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 005017,2,N3RuRXlIQUZMM3RXWWVVZlhEQjZYZz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,PROCESS_START,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 005601,2,N3RuRXlIQUZMM3RXWWVVZlhEQjZYZz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,PROCESS_END,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 005657000,2,N3RuRXlIQUZMM3RXWWVVZlhEQjZYZz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,JOBOUT,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 015259,2,QmNFRGY3aS9hdGhkeGhaa3JyZURLdz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,ARRIVE,2,VmlKeUFMSFR2V3hFUHNQZlExTS8wWDI4bWFobkRLV0gyNnNVM3YwZW42VT0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 015730000,2,QmNFRGY3aS9hdGhkeGhaa3JyZURLdz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,JOBIN,2,VmlKeUFMSFR2V3hFUHNQZlExTS8wWDI4bWFobkRLV0gyNnNVM3YwZW42VT0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 030756,2,QmNFRGY3aS9hdGhkeGhaa3JyZURLdz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,PROCESS_START,2,VmlKeUFMSFR2V3hFUHNQZlExTS8wWDI4bWFobkRLV0gyNnNVM3YwZW42VT0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 031600,2,QmNFRGY3aS9hdGhkeGhaa3JyZURLdz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,PROCESS_END,2,VmlKeUFMSFR2V3hFUHNQZlExTS8wWDI4bWFobkRLV0gyNnNVM3YwZW42VT0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 031703000,2,QmNFRGY3aS9hdGhkeGhaa3JyZURLdz09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,JOBOUT,2,VmlKeUFMSFR2V3hFUHNQZlExTS8wWDI4bWFobkRLV0gyNnNVM3YwZW42VT0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 075123,2,YmQyWmdQYWRBMDNueXJKS2N2T2JuUT09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,ARRIVE,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 081916000,2,YmQyWmdQYWRBMDNueXJKS2N2T2JuUT09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,JOBIN,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 092139,2,YmQyWmdQYWRBMDNueXJKS2N2T2JuUT09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,PROCESS_START,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 092923,2,YmQyWmdQYWRBMDNueXJKS2N2T2JuUT09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,PROCESS_END,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
S3JmSlBDUFpRNytKNHVCS1pOV0JyQT09,20180204 093026000,2,YmQyWmdQYWRBMDNueXJKS2N2T2JuUT09,cmsrMHZ6VDNXWVZneCswSWMrbDgwZz09,bmt3WlZTRThMOWRCenJVbHlPYjcyZz09,JOBOUT,2,dDVVdmgxemtxZTRBaXlZZHdzZTM0aVJPUnA1dkl3RkUzUVhBcFo0NzhmYz0=
